barabasi-albert unstructured adversarial 0 visibleconsensusnodes 1 concensusnodes 10 ['no strategy', 'one circle', '2 circles']
erdos-renyi-sparse unstructured adversarial 0 visibleconsensusnodes 1 concensusnodes 10 ['no strategy', 'one circle', '2 circles']
erdos-renyi-sparse unstructured adversarial 0 visibleconsensusnodes 1 concensusnodes 20 ['no strategy', 'one circle', '2 circles']
erdos-renyi-sparse unstructured adversarial 0 visibleconsensusnodes 1 concensusnodes 20 ['no strategy', 'one circle', '2 circles']
erdos-renyi-sparse unstructured adversarial 0 visibleconsensusnodes 1 concensusnodes 20 ['no strategy', 'one circle', '2 circles']
erdos-renyi-sparse unstructured adversarial 0 visibleconsensusnodes 1 concensusnodes 30 ['no strategy', 'one circle', '2 circles']
erdos-renyi-sparse unstructured adversarial 0 visibleconsensusnodes 1 concensusnodes 30 ['no strategy', 'one circle', '2 circles']
erdos-renyi-sparse unstructured adversarial 0 visibleconsensusnodes 1 concensusnodes 30 ['no strategy', 'one circle', '2 circles']
erdos-renyi-sparse unstructured adversarial 2 visibleconsensusnodes 1 concensusnodes 10 ['no strategy', 'one circle', '2 circles']
erdos-renyi-sparse unstructured adversarial 2 visibleconsensusnodes 1 concensusnodes 10 ['no strategy', 'one circle', '2 circles']
erdos-renyi-sparse unstructured adversarial 2 visibleconsensusnodes 1 concensusnodes 10 ['no strategy', 'one circle', '2 circles']
erdos-renyi-sparse unstructured adversarial 2 visibleconsensusnodes 1 concensusnodes 20 ['no strategy', 'one circle', '2 circles']
erdos-renyi-sparse unstructured adversarial 2 visibleconsensusnodes 1 concensusnodes 20 ['no strategy', 'one circle', '2 circles']
erdos-renyi-sparse unstructured adversarial 2 visibleconsensusnodes 1 concensusnodes 20 ['no strategy', 'one circle', '2 circles']
erdos-renyi-sparse unstructured adversarial 2 visibleconsensusnodes 1 concensusnodes 30 ['no strategy', 'one circle', '2 circles']
erdos-renyi-sparse unstructured adversarial 2 visibleconsensusnodes 1 concensusnodes 30 ['no strategy', 'one circle', '2 circles']
erdos-renyi-sparse unstructured adversarial 2 visibleconsensusnodes 1 concensusnodes 30 ['no strategy', 'one circle', '2 circles']
erdos-renyi-sparse unstructured adversarial 5 visibleconsensusnodes 1 concensusnodes 10 ['no strategy', 'one circle', '2 circles']
erdos-renyi-sparse unstructured adversarial 5 visibleconsensusnodes 1 concensusnodes 10 ['no strategy', 'one circle', '2 circles']
erdos-renyi-sparse unstructured adversarial 5 visibleconsensusnodes 1 concensusnodes 10 ['no strategy', 'one circle', '2 circles']
erdos-renyi-sparse unstructured adversarial 5 visibleconsensusnodes 1 concensusnodes 20 ['no strategy', 'one circle', '2 circles']
erdos-renyi-sparse unstructured adversarial 5 visibleconsensusnodes 1 concensusnodes 20 ['no strategy', 'one circle', '2 circles']
erdos-renyi-sparse unstructured adversarial 5 visibleconsensusnodes 1 concensusnodes 20 ['no strategy', 'one circle', '2 circles']
erdos-renyi-sparse unstructured adversarial 5 visibleconsensusnodes 1 concensusnodes 30 ['no strategy', 'one circle', '2 circles']
erdos-renyi-sparse unstructured adversarial 5 visibleconsensusnodes 1 concensusnodes 30 ['no strategy', 'one circle', '2 circles']
erdos-renyi-sparse unstructured adversarial 5 visibleconsensusnodes 1 concensusnodes 30 ['no strategy', 'one circle', '2 circles']
